	Command	Key	Touch Bar
- Global Commands
	Record		5⃣
	Record / Record Repeat		
	Record Repeat	⇧R	
	Record Toggle		
	Record / Record Toggle	R	
	Discard Recording and Return to Last Play Position		
	Record into Cell	⌥R	
	Capture as Recording		
	Capture as Recording and Play		
	Play		
	Pause		
	Stop		
	Play or Stop	˽	4⃣
	Preview Selection-Based Processing	⌥⇧˽	
	Stop or Play From Last Position		
	Play or Stop and Go to Last Locate Position		
	Rewind	,	
	Forward	.	
	Fast Rewind		
	Fast Forward		
	Rewind by Transient		
	Forward by Transient		
	Rewind one Frame		
	Forward one Frame		
	Rewind by Division Value	⌥,	
	Forward by Division Value	⌥.	
	Rewind one 1/8 Note		
	Forward one 1/8 Note		
	Rewind one 1/16 Note		
	Forward one 1/16 Note		
	Rewind by Nudge Value		
	Forward by Nudge Value		
	Shuttle Rewind		
	Shuttle Forward		
	Scrub Rewind		
	Scrub Forward		
	Play from Beginning		
	Play from Previous Bar		
	Play from Left Locator		
	Play from Right Locator		
	Play from Left Window Edge		
	Go to Left Locator	↩	
	Go to Right Locator		
	Go to Last Locate Position		
	Stop and Go to Last Locate Position		
	Stop and Go to Left Locator		
	Stop and Go to Beginning		
	Go to Position…		
	Set Left Locator numerically…		
	Set Right Locator numerically…		
	Set Left Locator by Playhead		
	Set Left Locator by Rounded Playhead		
	Set Punch In Locator by Playhead		
	Set Punch In Locator by Rounded Playhead		
	Set Right Locator by Playhead		
	Set Right Locator by Rounded Playhead		
	Set Punch Out Locator by Playhead		
	Set Punch Out Locator Point by Rounded Playhead		
	Set Locators/Loop by Regions/Events/Marquee		
	Set Locators/Loop by Regions/Events/Marquee and Enable Cycle/Loop		
	Set Rounded Locators/Loop by Regions/Events/Marquee		
	Set Rounded Locators/Loop by Regions/Events/Marquee and Enable Cycle/Loop		
	Set Locators and Play		
	Set Rounded Locators and Play		
	Set Rounded Locators and Cycle Play		
	Set Rounded Locators and Record		
	Set Rounded Locators and Cycle Record		
	Play from Selection		2⃣
	Set Punch Locators by Regions/Events/Marquee		
	Set Rounded Punch Locators by Regions/Events		
	Set Punch Locators by Cycle Locators		
	Skip Cycle		
	Move Locators Forward by Cycle Length / Loop Forward by Loop Length		8⃣
	Move Locators Backwards by Cycle Length / Loop Backwards by Loop Length		7⃣
	Move Locators/Loop Forward by 1 Bar		
	Move Locators/Loop Backwards by 1 Bar		
	Double Cycle/Loop Length	⌥⇧⌘.	
	Halve Cycle/Loop Length	⌥⇧⌘,	
	Toggle Auto Set Locators		
	Go to Selection Start	⇧˽	1⃣
	Go to Selection End	⌥⇧↩	
	Go to Beginning of First Region		
	Go to End of Last Region	⌥↩	
	Go to Beginning		3⃣
	Go to End		
	Select Previous Section for Realtime Comping		
	Create Marker		
	Create Marker without rounding		
	Create Marker for Selected Regions		
	Create Marker by Cycle Area		
	Delete Marker		
	Open Marker List		
	Open Marker Text		
	Set Locators by Marker and Enable Cycle		
	Set Locators by Previous Marker and Enable Cycle		
	Set Locators by Next Marker and Enable Cycle		
	Go to Previous Marker	⇧,	
	Go to Next Marker	⇧.	
	Go to Previous Marker And Set Locators	⇧⌘,	
	Go to Next Marker And Set Locators	⇧⌘.	
	Go to Marker Number…		
	Rename Marker		
	Go to Marker Number 1		
	Go to Marker Number 2		
	Go to Marker Number 3		
	Go to Marker Number 4		
	Go to Marker Number 5		
	Go to Marker Number 6		
	Go to Marker Number 7		
	Go to Marker Number 8		
	Go to Marker Number 9		
	Go to Marker Number 10		
	Go to Marker Number 11		
	Go to Marker Number 12		
	Go to Marker Number 13		
	Go to Marker Number 14		
	Go to Marker Number 15		
	Go to Marker Number 16		
	Go to Marker Number 17		
	Go to Marker Number 18		
	Go to Marker Number 19		
	Go to Marker Number 20		
	Create Arrangement Marker		
	Select Previous Project		
	Select Next Project		
	Select Project 1		
	Select Project 2		
	Select Project 3		
	Select Project 4		
	Select Project 5		
	Select Project 6		
	Select Project 7		
	Select Project 8		
	Select Project 9		
	Select Project 10		
	Select Project 11		
	Select Project 12		
	Select Project 13		
	Select Project 14		
	Select Project 15		
	Select Project 16		
	Select Project 17		
	Select Project 18		
	Select Project 19		
	Select Project 20		
	Toggle Cycle Mode	C	6⃣
	Toggle Autopunch Mode		
	Toggle Replace		
	Toggle Region Solo		
	Toggle Solo Tracks (Channels Strips) of Selected Regions/Cells		
	Set Solo Lock Mode		
	Reselect Solo-Locked Regions		
	Clear/Recall Solo	⇧S	
	Mute off for all		
	Record off for all		
	Toggle Sync intern/extern		
	Tap Tempo		
	Toggle MIDI Machine Control		
	Toggle Cycle Preview		
	Set Next Higher Division	⌥⇧.	
	Set Next Lower Division	⌥⇧,	
	Set Division Value to 1/4 Note		
	Set Division Value to 1/8 Note		
	Set Division Value to 1/16 Note		
	Set Division Value to 1/32 Note		
	Set Division Value to 1/64 Note		
	Set Division Value to 1/128 Note		
	Set Division Value to 1/4 Triplet (1/6)		
	Set Division Value to 1/8 Triplet (1/12)		
	Set Division Value to 1/16 Triplet (1/24)		
	Set Division Value to 1/32 Triplet (1/48)		
	Set Division Value to 1/64 Triplet (1/96)		
	Set Division Value to 1/128 Triplet (1/192)		
	Toggle Metronome Click	K	
	Toggle Count-in		
	Send Reset Controllers		
	Send discrete Note Offs (Panic)		
	Send Maximum Volume		
	Send Used Instruments MIDI Settings		
	Send All Current Fader Values except Sysex		
	Send All Current Fader Values		
	Duplicate Screenset…		
	Rename Screenset…		
	Delete Screenset		
	Lock/Unlock Current Screenset		
	Revert to Saved Screenset		
	Next Screenset		
	Previous Screenset		
	Recall Screenset 1		
	Recall Screenset 2		
	Recall Screenset 3		
	Recall Screenset 4		
	Recall Screenset 5		
	Recall Screenset 6		
	Recall Screenset 7		
	Recall Screenset 8		
	Recall Screenset 9		
	Recall Screenset 1x		
	Recall Screenset 2x		
	Recall Screenset 3x		
	Recall Screenset 4x		
	Recall Screenset 5x		
	Recall Screenset 6x		
	Recall Screenset 7x		
	Recall Screenset 8x		
	Recall Screenset 9x		
	Region Inspector Float		
	Import Project Settings…		
	Open Synchronization Project Settings…		
	Open Metronome Project Settings…		
	Open Smart Tempo Settings…		
	Open Recording Project Settings…		
	Open Tuning Project Settings…		
	Open Audio Project Settings…		
	Open MIDI Project Settings…		
	Open Chase Events Project Settings…		
	Open Score Project Settings…		
	Open Movie Project Settings…		
	Open Assets Project Settings…		
	Open Settings…		
